consent,timestamp,sno,id,quesno,ans,Cognitive_bias
true,"2023-01-13 13:23:15",9665,63c10d9d9ced31.97396136,1,2,"Authority Bias"
true,"2023-01-13 13:23:20",9666,63c10d9d9ced31.97396136,2,4,"Authority Bias"
true,"2023-01-13 13:23:22",9667,63c10d9d9ced31.97396136,3,2,"Authority Bias"
true,"2023-01-13 13:23:25",9668,63c10d9d9ced31.97396136,4,4,"Authority Bias"
true,"2023-01-13 13:23:28",9669,63c10d9d9ced31.97396136,5,2,"Curiosity Effect"
true,"2023-01-13 13:23:31",9670,63c10d9d9ced31.97396136,6,4,"Curiosity Effect"
true,"2023-01-13 13:23:35",9671,63c10d9d9ced31.97396136,7,4,"Curiosity Effect"
true,"2023-01-13 13:23:37",9672,63c10d9d9ced31.97396136,8,2,"Curiosity Effect"
true,"2023-01-13 13:23:41",9673,63c10d9d9ced31.97396136,9,4,"Halo Effect"
true,"2023-01-13 13:23:46",9674,63c10d9d9ced31.97396136,10,2,"Halo Effect"
true,"2023-01-13 13:23:50",9675,63c10d9d9ced31.97396136,11,2,"Halo Effect"
true,"2023-01-13 13:23:53",9676,63c10d9d9ced31.97396136,12,4,"Halo Effect"
true,"2023-01-13 13:23:58",9677,63c10d9d9ced31.97396136,13,4,"Halo Effect"
true,"2023-01-13 13:24:01",9678,63c10d9d9ced31.97396136,14,2,"Hyperbolic Discounting"
true,"2023-01-13 13:24:06",9679,63c10d9d9ced31.97396136,15,4,"Hyperbolic Discounting"
true,"2023-01-13 13:24:09",9680,63c10d9d9ced31.97396136,16,2,"Hyperbolic Discounting"
true,"2023-01-13 13:24:12",9681,63c10d9d9ced31.97396136,17,2,"Hyperbolic Discounting"
true,"2023-01-13 13:24:22",9682,63c10d9d9ced31.97396136,18,4,"Recency Effect"
true,"2023-01-13 13:24:27",9683,63c10d9d9ced31.97396136,19,3,"Recency Effect"
true,"2023-01-13 13:24:30",9684,63c10d9d9ced31.97396136,20,3,"Recency Effect"
true,"2023-01-13 13:24:35",9685,63c10d9d9ced31.97396136,21,2,"Recency Effect"
true,"2023-01-13 14:12:40",9686,63c118e1e958a5.98529353,1,4,"Authority Bias"
true,"2023-01-13 14:12:57",9687,63c118e1e958a5.98529353,2,4,"Authority Bias"
true,"2023-01-13 14:13:10",9688,63c118e1e958a5.98529353,3,2,"Authority Bias"
true,"2023-01-13 14:13:21",9689,63c118e1e958a5.98529353,4,2,"Authority Bias"
true,"2023-01-13 14:13:31",9690,63c118e1e958a5.98529353,5,4,"Curiosity Effect"
true,"2023-01-13 14:13:38",9691,63c118e1e958a5.98529353,6,4,"Curiosity Effect"
true,"2023-01-13 14:13:56",9692,63c118e1e958a5.98529353,7,4,"Curiosity Effect"
true,"2023-01-13 14:14:02",9693,63c118e1e958a5.98529353,8,4,"Curiosity Effect"
true,"2023-01-13 14:14:12",9694,63c118e1e958a5.98529353,9,2,"Halo Effect"
true,"2023-01-13 14:14:20",9695,63c118e1e958a5.98529353,10,4,"Halo Effect"
true,"2023-01-13 14:14:31",9696,63c118e1e958a5.98529353,11,2,"Halo Effect"
true,"2023-01-13 14:22:11",9697,63c11b844d3d11.63574960,1,2,"Authority Bias"
true,"2023-01-13 14:22:21",9698,63c11b844d3d11.63574960,2,1,"Authority Bias"
true,"2023-01-13 14:22:33",9699,63c11b844d3d11.63574960,3,2,"Authority Bias"
true,"2023-01-13 14:22:44",9700,63c11b844d3d11.63574960,4,4,"Authority Bias"
true,"2023-01-13 14:22:57",9701,63c11b844d3d11.63574960,5,2,"Curiosity Effect"
true,"2023-01-13 14:23:05",9702,63c11b844d3d11.63574960,6,5,"Curiosity Effect"
true,"2023-01-13 14:23:11",9703,63c11b844d3d11.63574960,7,4,"Curiosity Effect"
true,"2023-01-13 14:23:18",9704,63c11b844d3d11.63574960,8,1,"Curiosity Effect"
true,"2023-01-13 14:23:24",9705,63c11b844d3d11.63574960,9,1,"Halo Effect"
true,"2023-01-13 14:23:31",9706,63c11b844d3d11.63574960,10,2,"Halo Effect"
true,"2023-01-13 14:23:38",9707,63c11b844d3d11.63574960,11,1,"Halo Effect"
true,"2023-01-13 14:23:43",9708,63c11b844d3d11.63574960,12,2,"Halo Effect"
true,"2023-01-13 14:23:52",9709,63c11b844d3d11.63574960,13,4,"Halo Effect"
true,"2023-01-13 14:23:56",9710,63c11b844d3d11.63574960,14,5,"Hyperbolic Discounting"
true,"2023-01-13 14:24:01",9711,63c11b844d3d11.63574960,15,2,"Hyperbolic Discounting"
true,"2023-01-13 14:24:05",9712,63c11b844d3d11.63574960,16,1,"Hyperbolic Discounting"
true,"2023-01-13 14:24:08",9713,63c11b844d3d11.63574960,17,1,"Hyperbolic Discounting"
true,"2023-01-13 14:24:23",9714,63c11b844d3d11.63574960,18,3,"Recency Effect"
true,"2023-01-13 14:24:32",9715,63c11b844d3d11.63574960,19,3,"Recency Effect"
true,"2023-01-13 14:24:36",9716,63c11b844d3d11.63574960,20,2,"Recency Effect"
true,"2023-01-13 14:24:43",9717,63c11b844d3d11.63574960,21,4,"Recency Effect"
true,"2023-01-13 15:02:17",9718,63c124a27d7517.32519941,1,2,"Authority Bias"
true,"2023-01-13 15:02:32",9719,63c124a27d7517.32519941,2,2,"Authority Bias"
true,"2023-01-13 15:02:43",9720,63c124a27d7517.32519941,3,4,"Authority Bias"
true,"2023-01-13 15:02:55",9721,63c124a27d7517.32519941,4,3,"Authority Bias"
true,"2023-01-13 15:03:06",9722,63c124a27d7517.32519941,5,4,"Curiosity Effect"
true,"2023-01-13 15:03:19",9723,63c124a27d7517.32519941,6,4,"Curiosity Effect"
true,"2023-01-13 15:03:24",9724,63c124a27d7517.32519941,7,4,"Curiosity Effect"
true,"2023-01-13 15:03:32",9725,63c124a27d7517.32519941,8,3,"Curiosity Effect"
true,"2023-01-13 15:03:43",9726,63c124a27d7517.32519941,9,4,"Halo Effect"
true,"2023-01-13 15:03:53",9727,63c124a27d7517.32519941,10,2,"Halo Effect"
true,"2023-01-13 15:04:06",9728,63c124a27d7517.32519941,11,2,"Halo Effect"
true,"2023-01-13 15:04:20",9729,63c124a27d7517.32519941,12,4,"Halo Effect"
true,"2023-01-13 15:04:27",9730,63c124a27d7517.32519941,13,4,"Halo Effect"
true,"2023-01-13 15:04:31",9731,63c124a27d7517.32519941,14,4,"Hyperbolic Discounting"
true,"2023-01-13 15:04:34",9732,63c124a27d7517.32519941,15,2,"Hyperbolic Discounting"
true,"2023-01-13 15:04:36",9733,63c124a27d7517.32519941,16,4,"Hyperbolic Discounting"
true,"2023-01-13 15:04:39",9734,63c124a27d7517.32519941,17,2,"Hyperbolic Discounting"
true,"2023-01-13 15:04:40",9735,63c124a27d7517.32519941,18,4,"Recency Effect"
true,"2023-01-13 15:04:43",9736,63c124a27d7517.32519941,19,3,"Recency Effect"
true,"2023-01-13 15:04:45",9737,63c124a27d7517.32519941,20,4,"Recency Effect"
true,"2023-01-13 15:04:48",9738,63c124a27d7517.32519941,21,2,"Recency Effect"
true,"2023-01-13 18:05:03",9739,63c14f11d051d4.93343629,1,2,"Authority Bias"
true,"2023-01-13 18:06:12",9740,63c14f11d051d4.93343629,2,4,"Authority Bias"
true,"2023-01-13 18:06:25",9741,63c14f11d051d4.93343629,3,2,"Authority Bias"
true,"2023-01-13 18:07:03",9742,63c14f11d051d4.93343629,4,4,"Authority Bias"
true,"2023-01-13 18:08:09",9743,63c14f11d051d4.93343629,5,4,"Curiosity Effect"
true,"2023-01-13 18:08:52",9744,63c14f11d051d4.93343629,6,4,"Curiosity Effect"
true,"2023-01-13 18:08:56",9745,63c14f11d051d4.93343629,7,2,"Curiosity Effect"
true,"2023-01-13 18:09:01",9746,63c14f11d051d4.93343629,8,4,"Curiosity Effect"
true,"2023-01-13 18:09:08",9747,63c14f11d051d4.93343629,9,4,"Halo Effect"
true,"2023-01-13 18:09:18",9748,63c14f11d051d4.93343629,10,4,"Halo Effect"
true,"2023-01-13 18:09:23",9749,63c14f11d051d4.93343629,11,4,"Halo Effect"
true,"2023-01-13 18:09:25",9750,63c14f11d051d4.93343629,12,2,"Halo Effect"
true,"2023-01-13 18:09:27",9751,63c14f11d051d4.93343629,13,2,"Halo Effect"
true,"2023-01-13 18:09:30",9752,63c14f11d051d4.93343629,14,4,"Hyperbolic Discounting"
true,"2023-01-13 18:09:40",9753,63c14f11d051d4.93343629,15,4,"Hyperbolic Discounting"
true,"2023-01-13 18:09:42",9754,63c14f11d051d4.93343629,16,2,"Hyperbolic Discounting"
true,"2023-01-13 18:09:44",9755,63c14f11d051d4.93343629,17,2,"Hyperbolic Discounting"
true,"2023-01-13 18:09:47",9756,63c14f11d051d4.93343629,18,4,"Recency Effect"
true,"2023-01-13 18:09:52",9757,63c14f11d051d4.93343629,19,3,"Recency Effect"
true,"2023-01-13 18:09:58",9758,63c14f11d051d4.93343629,20,4,"Recency Effect"
true,"2023-01-13 18:10:05",9759,63c14f11d051d4.93343629,21,2,"Recency Effect"
true,"2023-02-23 22:10:40",9760,63f796b834a845.12642332,1,4,"Authority Bias"
true,"2023-02-23 22:12:30",9761,63f796b834a845.12642332,2,1,"Authority Bias"
true,"2023-02-23 22:12:52",9762,63f796b834a845.12642332,3,2,"Authority Bias"
true,"2023-02-23 22:13:23",9763,63f796b834a845.12642332,4,4,"Authority Bias"
true,"2023-02-23 22:13:53",9764,63f796b834a845.12642332,5,4,"Curiosity Effect"
true,"2023-02-23 22:14:11",9765,63f796b834a845.12642332,6,4,"Curiosity Effect"
true,"2023-02-23 22:14:20",9766,63f796b834a845.12642332,7,5,"Curiosity Effect"
true,"2023-02-23 22:14:26",9767,63f796b834a845.12642332,8,2,"Curiosity Effect"
true,"2023-02-23 22:14:31",9768,63f796b834a845.12642332,9,4,"Halo Effect"
true,"2023-02-23 22:14:40",9769,63f796b834a845.12642332,10,5,"Halo Effect"
true,"2023-02-23 22:14:53",9770,63f796b834a845.12642332,11,2,"Halo Effect"
true,"2023-02-23 22:15:03",9771,63f796b834a845.12642332,12,2,"Halo Effect"
true,"2023-02-23 22:15:11",9772,63f796b834a845.12642332,13,4,"Halo Effect"
true,"2023-02-23 22:15:46",9773,63f796b834a845.12642332,14,5,"Hyperbolic Discounting"
true,"2023-02-23 22:15:50",9774,63f796b834a845.12642332,15,5,"Hyperbolic Discounting"
true,"2023-02-23 22:15:55",9775,63f796b834a845.12642332,16,5,"Hyperbolic Discounting"
true,"2023-02-23 22:16:00",9776,63f796b834a845.12642332,17,5,"Hyperbolic Discounting"
true,"2023-02-23 22:16:05",9777,63f796b834a845.12642332,18,2,"Recency Effect"
true,"2023-02-23 22:16:23",9778,63f796b834a845.12642332,19,3,"Recency Effect"
true,"2023-02-23 22:16:41",9779,63f796b834a845.12642332,20,3,"Recency Effect"
true,"2023-02-23 22:16:54",9780,63f796b834a845.12642332,21,4,"Recency Effect"
true,"2023-02-23 22:40:28",9781,63f799e0ad98a5.53701357,1,5,"Authority Bias"
true,"2023-02-23 22:41:17",9782,63f799e0ad98a5.53701357,2,3,"Authority Bias"
true,"2023-02-23 22:41:33",9783,63f799e0ad98a5.53701357,3,1,"Authority Bias"
true,"2023-02-23 22:41:52",9784,63f799e0ad98a5.53701357,4,2,"Authority Bias"
true,"2023-02-23 22:42:49",9785,63f799e0ad98a5.53701357,5,4,"Curiosity Effect"
true,"2023-02-23 22:42:59",9786,63f799e0ad98a5.53701357,6,5,"Curiosity Effect"
true,"2023-02-23 22:43:17",9787,63f799e0ad98a5.53701357,7,4,"Curiosity Effect"
true,"2023-02-23 22:43:23",9788,63f799e0ad98a5.53701357,8,4,"Curiosity Effect"
true,"2023-02-23 22:44:12",9789,63f799e0ad98a5.53701357,9,5,"Halo Effect"
true,"2023-02-23 22:44:46",9790,63f799e0ad98a5.53701357,10,5,"Halo Effect"
true,"2023-02-23 22:44:58",9791,63f799e0ad98a5.53701357,11,4,"Halo Effect"
true,"2023-02-23 22:45:06",9792,63f799e0ad98a5.53701357,12,4,"Halo Effect"
true,"2023-02-23 22:45:19",9793,63f799e0ad98a5.53701357,13,4,"Halo Effect"
true,"2023-02-23 22:46:30",9794,63f799e0ad98a5.53701357,14,5,"Hyperbolic Discounting"
true,"2023-02-23 22:46:41",9795,63f799e0ad98a5.53701357,15,4,"Hyperbolic Discounting"
true,"2023-02-23 22:46:48",9796,63f799e0ad98a5.53701357,16,4,"Hyperbolic Discounting"
true,"2023-02-23 22:46:52",9797,63f799e0ad98a5.53701357,17,4,"Hyperbolic Discounting"
true,"2023-02-23 22:47:30",9798,63f799e0ad98a5.53701357,18,2,"Recency Effect"
true,"2023-02-23 22:47:52",9799,63f799e0ad98a5.53701357,19,4,"Recency Effect"
true,"2023-02-23 22:48:10",9800,63f799e0ad98a5.53701357,20,3,"Recency Effect"
true,"2023-02-23 22:48:22",9801,63f799e0ad98a5.53701357,21,4,"Recency Effect"
true,"2023-02-24 19:19:21",9802,63f8bfb9cbdb89.64168891,1,4,"Authority Bias"
true,"2023-02-24 19:20:34",9803,63f8bfb9cbdb89.64168891,2,4,"Authority Bias"
true,"2023-02-24 19:22:15",9804,63f8bfb9cbdb89.64168891,3,4,"Authority Bias"
true,"2023-02-24 19:24:07",9805,63f8bfb9cbdb89.64168891,4,4,"Authority Bias"
true,"2023-02-24 19:24:44",9806,63f8bfb9cbdb89.64168891,5,4,"Curiosity Effect"
true,"2023-02-24 19:24:57",9807,63f8bfb9cbdb89.64168891,6,4,"Curiosity Effect"
true,"2023-02-24 19:25:40",9808,63f8bfb9cbdb89.64168891,7,3,"Curiosity Effect"
true,"2023-02-24 19:26:06",9809,63f8bfb9cbdb89.64168891,8,4,"Curiosity Effect"
true,"2023-02-24 19:26:49",9810,63f8bfb9cbdb89.64168891,9,5,"Halo Effect"
true,"2023-02-24 19:27:28",9811,63f8bfb9cbdb89.64168891,10,4,"Halo Effect"
true,"2023-02-24 19:28:24",9812,63f8bfb9cbdb89.64168891,11,4,"Halo Effect"
true,"2023-02-24 19:29:19",9813,63f8bfb9cbdb89.64168891,12,4,"Halo Effect"
true,"2023-02-24 19:29:32",9814,63f8bfb9cbdb89.64168891,13,4,"Halo Effect"
true,"2023-02-24 19:30:45",9815,63f8bfb9cbdb89.64168891,14,4,"Hyperbolic Discounting"
true,"2023-02-24 19:31:22",9816,63f8bfb9cbdb89.64168891,15,5,"Hyperbolic Discounting"
true,"2023-02-24 19:32:21",9817,63f8bfb9cbdb89.64168891,16,3,"Hyperbolic Discounting"
true,"2023-02-24 19:32:55",9818,63f8bfb9cbdb89.64168891,17,4,"Hyperbolic Discounting"
true,"2023-02-24 19:34:43",9819,63f8bfb9cbdb89.64168891,18,3,"Recency Effect"
true,"2023-02-24 19:36:01",9820,63f8bfb9cbdb89.64168891,19,4,"Recency Effect"
true,"2023-02-24 19:36:42",9821,63f8bfb9cbdb89.64168891,20,4,"Recency Effect"
true,"2023-02-24 19:37:08",9822,63f8bfb9cbdb89.64168891,21,5,"Recency Effect"
