consent,timestamp,sno,id,quesno,ans,Cognitive_bias,Phase
true,"2023-01-13 12:20:53",9629,63c0ff33e3cac2.37630151,1,5,"Recency Effect","Phase 1"
true,"2023-01-13 12:39:19",9630,63c10384868c05.01716706,1,5,"Recency Effect","Phase 1"
true,"2023-01-13 12:39:22",9631,63c10384868c05.01716706,2,2,"Halo Effect","Phase 1"
true,"2023-01-13 12:40:09",9632,63c10384868c05.01716706,3,4,,
true,"2023-01-13 12:40:14",9633,63c10384868c05.01716706,4,1,,
true,"2023-01-13 12:40:59",9634,63c10384868c05.01716706,5,1,"Halo Effect","Phase 3"
true,"2023-01-13 13:11:47",9635,63c10afebea264.09751259,1,4,"Recency Effect","Phase 1"
true,"2023-01-13 13:13:11",9636,63c10b734aad45.08077598,1,4,"Recency Effect","Phase 1"
true,"2023-01-13 13:13:13",9637,63c10b734aad45.08077598,2,4,"Halo Effect","Phase 1"
true,"2023-01-13 13:13:27",9638,63c10b734aad45.08077598,3,2,"Authority Bias","Phase 1"
true,"2023-01-13 13:14:11",9639,63c10b734aad45.08077598,4,1,"Hyperbolic Discounting","Phase 1"
true,"2023-01-13 13:14:21",9640,63c10b734aad45.08077598,5,2,"Curiosity Effect","Phase 1"
true,"2023-01-13 13:14:48",9641,63c10b734aad45.08077598,6,5,NA,"Phase 1"
true,"2023-01-13 13:15:06",9642,63c10b734aad45.08077598,7,3,NA,"Phase 1"
true,"2023-01-13 13:16:05",9643,63c10b734aad45.08077598,8,2,NA,"Phase 1"
true,"2023-01-13 13:16:21",9644,63c10b734aad45.08077598,9,4,NA,"Phase 1"
true,"2023-01-13 13:16:36",9645,63c10b734aad45.08077598,10,2,NA,"Phase 1"
true,"2023-01-13 13:16:40",9646,63c10b734aad45.08077598,11,1,,
true,"2023-01-13 13:16:44",9647,63c10b734aad45.08077598,12,1,,
true,"2023-01-13 13:16:48",9648,63c10b734aad45.08077598,13,1,,
true,"2023-01-13 13:16:52",9649,63c10b734aad45.08077598,14,1,,
true,"2023-01-13 13:16:54",9650,63c10b734aad45.08077598,15,1,,
true,"2023-01-13 13:16:56",9651,63c10b734aad45.08077598,16,1,,
true,"2023-01-13 13:17:00",9652,63c10b734aad45.08077598,17,1,,
true,"2023-01-13 13:17:02",9653,63c10b734aad45.08077598,18,1,,
true,"2023-01-13 13:17:05",9654,63c10b734aad45.08077598,19,1,,
true,"2023-01-13 13:17:08",9655,63c10b734aad45.08077598,20,1,,
true,"2023-01-13 13:17:10",9656,63c10b734aad45.08077598,21,1,,
true,"2023-01-13 13:25:01",9657,63c10c4418b211.58665906,1,1,"Authority Bias","Phase 3"
true,"2023-01-13 13:25:25",9658,63c10c4418b211.58665906,2,1,"Hyperbolic Discounting","Phase 3"
true,"2023-01-13 13:25:52",9659,63c10c4418b211.58665906,3,1,"Recency Effect","Phase 3"
true,"2023-01-13 13:26:05",9660,63c10c4418b211.58665906,4,2,"Curiosity Effect","Phase 3"
true,"2023-01-13 13:26:33",9661,63c10c4418b211.58665906,5,3,"Halo Effect","Phase 3"
true,"2023-01-13 13:26:48",9662,63c10c4418b211.58665906,6,4,NA,"Phase 3"
true,"2023-01-13 13:27:05",9663,63c10c4418b211.58665906,7,4,NA,"Phase 3"
true,"2023-01-13 13:27:22",9664,63c10c4418b211.58665906,8,5,NA,"Phase 3"
true,"2023-01-13 13:27:36",9665,63c10c4418b211.58665906,9,4,NA,"Phase 3"
true,"2023-01-13 13:27:40",9666,63c10c4418b211.58665906,10,4,NA,"Phase 3"
true,"2023-01-13 13:27:49",9667,63c10c4418b211.58665906,11,4,,
true,"2023-01-13 13:27:53",9668,63c10c4418b211.58665906,12,1,,
true,"2023-01-13 13:27:55",9669,63c10c4418b211.58665906,13,1,,
true,"2023-01-13 13:28:00",9670,63c10c4418b211.58665906,14,1,,
true,"2023-01-13 13:28:05",9671,63c10c4418b211.58665906,15,1,,
true,"2023-01-13 13:28:07",9672,63c10c4418b211.58665906,16,1,,
true,"2023-01-13 13:28:17",9673,63c10c4418b211.58665906,17,1,,
true,"2023-01-13 13:28:22",9674,63c10c4418b211.58665906,18,1,,
true,"2023-01-13 13:28:25",9675,63c10c4418b211.58665906,19,1,,
true,"2023-01-13 13:28:27",9676,63c10c4418b211.58665906,20,1,,
true,"2023-01-13 13:28:32",9677,63c10c4418b211.58665906,21,1,,
true,"2023-01-13 16:14:32",9678,63c135cbac5fe6.88091176,1,2,"Authority Bias","Phase 3"
true,"2023-01-13 16:14:44",9679,63c135cbac5fe6.88091176,2,1,"Hyperbolic Discounting","Phase 3"
true,"2023-01-13 16:14:57",9680,63c135cbac5fe6.88091176,3,1,"Recency Effect","Phase 3"
true,"2023-01-13 16:15:03",9681,63c135cbac5fe6.88091176,4,1,"Curiosity Effect","Phase 3"
true,"2023-01-13 16:15:28",9682,63c135cbac5fe6.88091176,5,3,"Halo Effect","Phase 3"
true,"2023-01-13 16:15:44",9683,63c135cbac5fe6.88091176,6,4,NA,"Phase 3"
true,"2023-01-13 16:16:04",9684,63c135cbac5fe6.88091176,7,1,NA,"Phase 3"
true,"2023-01-13 16:16:15",9685,63c135cbac5fe6.88091176,8,1,NA,"Phase 3"
true,"2023-01-13 16:16:26",9686,63c135cbac5fe6.88091176,9,3,NA,"Phase 3"
true,"2023-01-13 16:17:19",9687,63c135cbac5fe6.88091176,10,4,NA,"Phase 3"
true,"2023-01-13 16:17:32",9688,63c135cbac5fe6.88091176,11,5,,
true,"2023-01-13 16:17:48",9689,63c135cbac5fe6.88091176,12,5,,
true,"2023-01-13 16:18:10",9690,63c135cbac5fe6.88091176,13,5,,
true,"2023-01-13 16:18:16",9691,63c135cbac5fe6.88091176,14,5,,
true,"2023-01-13 16:18:19",9692,63c135cbac5fe6.88091176,15,5,,
true,"2023-01-13 16:18:24",9693,63c135cbac5fe6.88091176,16,5,,
true,"2023-01-13 16:18:27",9694,63c135cbac5fe6.88091176,17,5,,
true,"2023-01-13 16:18:29",9695,63c135cbac5fe6.88091176,18,5,,
true,"2023-01-13 16:18:32",9696,63c135cbac5fe6.88091176,19,5,,
true,"2023-01-13 16:18:34",9697,63c135cbac5fe6.88091176,20,5,,
true,"2023-01-13 16:18:36",9698,63c135cbac5fe6.88091176,21,5,,
true,"2023-01-13 16:43:36",9699,63c13c49bb45d2.85379201,1,2,"Authority Bias","Phase 3"
true,"2023-01-13 16:44:04",9700,63c13c49bb45d2.85379201,2,3,"Hyperbolic Discounting","Phase 3"
true,"2023-01-13 16:44:28",9701,63c13c49bb45d2.85379201,3,1,"Recency Effect","Phase 3"
true,"2023-01-13 16:44:46",9702,63c13c49bb45d2.85379201,4,1,"Curiosity Effect","Phase 3"
true,"2023-01-13 16:45:21",9703,63c13c49bb45d2.85379201,5,2,"Halo Effect","Phase 3"
true,"2023-01-13 16:45:49",9704,63c13c49bb45d2.85379201,6,4,NA,"Phase 3"
true,"2023-01-13 16:46:03",9705,63c13c49bb45d2.85379201,7,2,NA,"Phase 3"
true,"2023-01-13 16:46:28",9706,63c13c49bb45d2.85379201,8,1,NA,"Phase 3"
true,"2023-01-13 16:46:50",9707,63c13c49bb45d2.85379201,9,2,NA,"Phase 3"
true,"2023-01-13 16:47:07",9708,63c13c49bb45d2.85379201,10,3,NA,"Phase 3"
true,"2023-01-13 16:47:23",9709,63c13c49bb45d2.85379201,11,1,,
true,"2023-01-17 18:35:41",9710,63c69cc37ff9a2.44012690,1,3,"Recency Effect","Phase 1"
true,"2023-01-17 18:36:03",9711,63c69cc37ff9a2.44012690,2,4,"Halo Effect","Phase 1"
true,"2023-01-17 18:36:15",9712,63c69cc37ff9a2.44012690,3,4,"Authority Bias","Phase 1"
true,"2023-01-17 18:36:21",9713,63c69cc37ff9a2.44012690,4,4,"Hyperbolic Discounting","Phase 1"
true,"2023-01-17 18:36:42",9714,63c69cc37ff9a2.44012690,5,4,"Curiosity Effect","Phase 1"
true,"2023-01-17 18:36:46",9715,63c69cc37ff9a2.44012690,6,4,NA,"Phase 1"
true,"2023-01-17 18:37:05",9716,63c69cc37ff9a2.44012690,7,4,NA,"Phase 1"
true,"2023-01-17 18:37:10",9717,63c69cc37ff9a2.44012690,8,2,NA,"Phase 1"
true,"2023-01-17 18:37:14",9718,63c69cc37ff9a2.44012690,9,4,NA,"Phase 1"
true,"2023-01-17 18:37:20",9719,63c69cc37ff9a2.44012690,10,4,NA,"Phase 1"
true,"2023-01-20 14:56:49",9720,63ca5c86031ea6.45566062,1,3,"Recency Effect","Phase 1"
true,"2023-01-20 14:57:26",9721,63ca5c86031ea6.45566062,2,1,"Halo Effect","Phase 1"
true,"2023-01-20 14:58:32",9722,63ca5c86031ea6.45566062,3,3,"Authority Bias","Phase 1"
true,"2023-01-20 15:00:02",9723,63ca5c86031ea6.45566062,4,2,"Hyperbolic Discounting","Phase 1"
true,"2023-01-20 15:01:35",9724,63ca5c86031ea6.45566062,5,3,"Curiosity Effect","Phase 1"
true,"2023-01-20 15:02:09",9725,63ca5c86031ea6.45566062,6,5,NA,"Phase 1"
true,"2023-01-20 15:04:10",9726,63ca5c86031ea6.45566062,7,5,NA,"Phase 1"
true,"2023-01-20 15:06:04",9727,63ca5c86031ea6.45566062,8,5,NA,"Phase 1"
true,"2023-01-20 15:07:57",9728,63ca5c86031ea6.45566062,9,4,NA,"Phase 1"
true,"2023-01-20 15:10:14",9729,63ca5c86031ea6.45566062,10,4,NA,"Phase 1"
true,"2023-02-24 14:30:36",9730,63f87c49af1716.85060049,1,3,"Recency Effect","Phase 1"
true,"2023-02-24 14:31:06",9731,63f87c49af1716.85060049,2,1,"Halo Effect","Phase 1"
true,"2023-02-24 14:31:22",9732,63f87c49af1716.85060049,3,4,"Authority Bias","Phase 1"
true,"2023-02-24 14:31:49",9733,63f87c49af1716.85060049,4,2,"Hyperbolic Discounting","Phase 1"
true,"2023-02-24 14:32:15",9734,63f87c49af1716.85060049,5,4,"Curiosity Effect","Phase 1"
true,"2023-02-24 14:32:25",9735,63f87c49af1716.85060049,6,5,NA,"Phase 1"
true,"2023-02-24 14:32:37",9736,63f87c49af1716.85060049,7,5,NA,"Phase 1"
true,"2023-02-24 14:32:57",9737,63f87c49af1716.85060049,8,5,NA,"Phase 1"
true,"2023-02-24 14:34:30",9738,63f87c49af1716.85060049,9,3,NA,"Phase 1"
true,"2023-02-24 14:34:42",9739,63f87c49af1716.85060049,10,5,NA,"Phase 1"
true,"2023-02-24 19:41:30",9740,63f8c4d0bc9ab0.34716873,1,2,"Authority Bias","Phase 3"
true,"2023-02-24 19:42:41",9741,63f8c4d0bc9ab0.34716873,2,2,"Hyperbolic Discounting","Phase 3"
true,"2023-02-24 19:43:46",9742,63f8c4d0bc9ab0.34716873,3,4,"Recency Effect","Phase 3"
true,"2023-02-24 19:44:02",9743,63f8c4d0bc9ab0.34716873,4,2,"Curiosity Effect","Phase 3"
true,"2023-02-24 19:44:20",9744,63f8c4d0bc9ab0.34716873,5,4,"Halo Effect","Phase 3"
true,"2023-02-24 19:45:41",9745,63f8c4d0bc9ab0.34716873,6,4,NA,"Phase 3"
true,"2023-02-24 19:46:10",9746,63f8c4d0bc9ab0.34716873,7,5,NA,"Phase 3"
true,"2023-02-24 19:46:47",9747,63f8c4d0bc9ab0.34716873,8,4,NA,"Phase 3"
true,"2023-02-24 19:47:27",9748,63f8c4d0bc9ab0.34716873,9,4,NA,"Phase 3"
true,"2023-02-24 19:48:17",9749,63f8c4d0bc9ab0.34716873,10,3,NA,"Phase 3"
true,"2023-02-24 19:49:51",9750,63f8c73491be41.84852184,1,4,"Recency Effect","Phase 1"
true,"2023-02-24 19:50:07",9751,63f8c73491be41.84852184,2,2,"Halo Effect","Phase 1"
true,"2023-02-24 19:50:57",9752,63f8c73491be41.84852184,3,3,"Authority Bias","Phase 1"
true,"2023-02-24 19:51:17",9753,63f8c73491be41.84852184,4,2,"Hyperbolic Discounting","Phase 1"
true,"2023-02-24 19:51:27",9754,63f8c73491be41.84852184,5,2,"Curiosity Effect","Phase 1"
true,"2023-02-24 19:51:48",9755,63f8c73491be41.84852184,6,4,NA,"Phase 1"
true,"2023-02-24 19:52:08",9756,63f8c73491be41.84852184,7,4,NA,"Phase 1"
true,"2023-02-24 19:52:21",9757,63f8c73491be41.84852184,8,4,NA,"Phase 1"
true,"2023-02-24 19:53:02",9758,63f8c73491be41.84852184,9,3,NA,"Phase 1"
true,"2023-02-24 19:53:47",9759,63f8c73491be41.84852184,10,4,NA,"Phase 1"
true,"2023-02-28 15:03:38",9760,63fdca5dc12369.09133289,1,4,"Authority Bias","Phase 3"
true,"2023-02-28 15:03:40",9761,63fdca5dc12369.09133289,2,4,"Hyperbolic Discounting","Phase 3"
true,"2023-02-28 15:03:43",9762,63fdca5dc12369.09133289,3,4,"Recency Effect","Phase 3"
true,"2023-02-28 15:03:47",9763,63fdca5dc12369.09133289,4,4,"Curiosity Effect","Phase 3"
true,"2023-02-28 15:05:19",9764,63fdca5dc12369.09133289,5,4,"Halo Effect","Phase 3"
true,"2023-02-28 15:05:20",9765,63fdca5dc12369.09133289,6,4,NA,"Phase 3"
true,"2023-02-28 15:05:23",9766,63fdca5dc12369.09133289,7,4,NA,"Phase 3"
true,"2023-02-28 15:05:25",9767,63fdca5dc12369.09133289,8,4,NA,"Phase 3"
true,"2023-02-28 15:05:27",9768,63fdca5dc12369.09133289,9,4,NA,"Phase 3"
